TenPct_AGthighX, TenPct_AGthighY, TenPct_AGthighZ, TwentyFivePct_AGthighX, TwentyFivePct_AGthighY, TwentyFivePct_AGthighZ, FiftyPct_AGthighX, FiftyPct_AGthighY, FiftyPct_AGthighZ, SeventyFivePct_AGthighX, SeventyFivePct_AGthighY, SeventyFivePct_AGthighZ, NinetyPct_AGthighX, NinetyPct_AGthighY, NinetyPct_AGthighZ
-2.87E+00,-1.16E+00,-1.86E-01,-1.89E+00,-7.74E-01,-9.54E-02,-7.55E-01,-5.02E-01,3.06E-02,2.53E-02,3.00E-01,1.88E-01,6.26E-01,6.30E-01,3.66E-01
-5.95E-01,4.28E-02,-7.93E-01,-5.75E-01,2.84E-01,-6.63E-01,-5.44E-01,5.21E-01,-6.27E-01,2.67E-01,5.41E-01,-6.00E-01,9.15E-01,5.53E-01,-2.45E-01
-6.14E-01,1.13E-01,-6.23E-01,-5.95E-01,2.41E-01,-6.12E-01,-5.71E-01,5.37E-01,-5.92E-01,8.09E-01,5.49E-01,-4.07E-01,9.89E-01,5.56E-01,-4.81E-02
-5.99E-01,5.33E-01,-6.63E-01,-5.91E-01,5.37E-01,-6.20E-01,-5.79E-01,5.45E-01,-6.04E-01,-5.56E-01,5.53E-01,-5.92E-01,-5.17E-01,5.60E-01,-5.84E-01
-7.04E-01,-1.32E-01,-7.97E-01,-6.92E-01,8.95E-02,-7.22E-01,-5.75E-01,1.09E-01,-6.94E-01,3.49E-01,5.21E-01,-6.20E-01,7.78E-01,5.49E-01,-4.82E-01
-8.56E-01,7.78E-02,-7.30E-01,-7.70E-01,8.56E-02,-7.14E-01,-7.08E-01,9.73E-02,-6.51E-01,-6.73E-01,1.28E-01,-5.60E-01,-4.00E-01,7.16E-01,-4.82E-01
-8.68E-01,1.09E-01,-6.90E-01,-8.60E-01,1.17E-01,-6.79E-01,-8.52E-01,1.25E-01,-4.97E-01,-7.16E-01,1.44E-01,-4.82E-01,-4.15E-01,5.95E-01,-4.74E-01
-7.27E-01,1.28E-01,-6.98E-01,-7.24E-01,1.32E-01,-6.90E-01,-7.16E-01,1.40E-01,-6.87E-01,-7.12E-01,1.44E-01,-6.79E-01,-7.04E-01,1.48E-01,-6.75E-01
-7.31E-01,1.28E-01,-6.94E-01,-7.24E-01,1.32E-01,-6.87E-01,-7.16E-01,1.40E-01,-6.79E-01,-7.08E-01,1.52E-01,-6.67E-01,-4.08E-01,7.16E-01,-5.76E-01
-7.35E-01,1.71E-01,-6.94E-01,-7.24E-01,2.10E-01,-6.71E-01,-6.53E-01,2.26E-01,-6.51E-01,-5.83E-01,6.34E-01,-5.01E-01,-3.65E-01,6.46E-01,-4.82E-01
-8.83E-01,-3.03E-01,-6.55E-01,-8.29E-01,2.49E-01,-5.80E-01,-7.63E-01,3.89E-01,-5.05E-01,-6.85E-01,4.71E-01,2.51E-01,-6.22E-01,5.02E-01,4.29E-01
